Sample;Lvl1. STD approx;Lvl1. Details. Horizontal. Energy;Lvl1. Details. Horizontal. Std ;Lvl1. Details. Vertical. Energy;Lvl1. Details. Vertical. Std;Lvl1. Details. Diagonal. Energy;Lvl1. Details. Diagonal. Std;Lvl1. Entropy. Approx;Lvl1. Entropy. Horizontal;Lvl1. Entropy. Vertical;Lvl1. Entropy. Diagonal;Lvl1. lim. Horizontal;Lvl1. lim. Vertical;Lvl1. lim. Diagonal;Lvl1. NPIM;Lvl2. STD approx;Lvl2. Details. Horizontal. Energy;Lvl2. Details. Horizontal. Std ;Lvl2. Details. Vertical. Energy;Lvl2. Details. Vertical. Std;Lvl2. Details. Diagonal. Energy;Lvl2. Details. Diagonal. Std;Lvl2. Entropy. Approx;Lvl2. Entropy. Horizontal;Lvl2. Entropy. Vertical;Lvl2. Entropy. Diagonal;Lvl2. lim. Horizontal;Lvl2. lim. Vertical;Lvl2. lim. Diagonal;Lvl2. NPIM;Lvl3. STD approx;Lvl3. Details. Horizontal. Energy;Lvl3. Details. Horizontal. Std ;Lvl3. Details. Vertical. Energy;Lvl3. Details. Vertical. Std;Lvl3. Details. Diagonal. Energy;Lvl3. Details. Diagonal. Std;Lvl3. Entropy. Approx;Lvl3. Entropy. Horizontal;Lvl3. Entropy. Vertical;Lvl3. Entropy. Diagonal;Lvl3. lim. Horizontal;Lvl3. lim. Vertical;Lvl3. lim. Diagonal;Lvl3. NPIM;Lvl4. STD approx;Lvl4. Details. Horizontal. Energy;Lvl4. Details. Horizontal. Std ;Lvl4. Details. Vertical. Energy;Lvl4. Details. Vertical. Std;Lvl4. Details. Diagonal. Energy;Lvl4. Details. Diagonal. Std;Lvl4. Entropy. Approx;Lvl4. Entropy. Horizontal;Lvl4. Entropy. Vertical;Lvl4. Entropy. Diagonal;Lvl4. lim. Horizontal;Lvl4. lim. Vertical;Lvl4. lim. Diagonal;Lvl4. NPIM;Lvl5. STD approx;Lvl5. Details. Horizontal. Energy;Lvl5. Details. Horizontal. Std ;Lvl5. Details. Vertical. Energy;Lvl5. Details. Vertical. Std;Lvl5. Details. Diagonal. Energy;Lvl5. Details. Diagonal. Std;Lvl5. Entropy. Approx;Lvl5. Entropy. Horizontal;Lvl5. Entropy. Vertical;Lvl5. Entropy. Diagonal;Lvl5. lim. Horizontal;Lvl5. lim. Vertical;Lvl5. lim. Diagonal;Lvl5. NPIM;Lvl6. STD approx;Lvl6. Details. Horizontal. Energy;Lvl6. Details. Horizontal. Std ;Lvl6. Details. Vertical. Energy;Lvl6. Details. Vertical. Std;Lvl6. Details. Diagonal. Energy;Lvl6. Details. Diagonal. Std;Lvl6. Entropy. Approx;Lvl6. Entropy. Horizontal;Lvl6. Entropy. Vertical;Lvl6. Entropy. Diagonal;Lvl6. lim. Horizontal;Lvl6. lim. Vertical;Lvl6. lim. Diagonal;Lvl6. NPIM;Lvl7. STD approx;Lvl7. Details. Horizontal. Energy;Lvl7. Details. Horizontal. Std ;Lvl7. Details. Vertical. Energy;Lvl7. Details. Vertical. Std;Lvl7. Details. Diagonal. Energy;Lvl7. Details. Diagonal. Std;Lvl7. Entropy. Approx;Lvl7. Entropy. Horizontal;Lvl7. Entropy. Vertical;Lvl7. Entropy. Diagonal;Lvl7. lim. Horizontal;Lvl7. lim. Vertical;Lvl7. lim. Diagonal;Lvl7. NPIM;Lvl8. STD approx;Lvl8. Details. Horizontal. Energy;Lvl8. Details. Horizontal. Std ;Lvl8. Details. Vertical. Energy;Lvl8. Details. Vertical. Std;Lvl8. Details. Diagonal. Energy;Lvl8. Details. Diagonal. Std;Lvl8. Entropy. Approx;Lvl8. Entropy. Horizontal;Lvl8. Entropy. Vertical;Lvl8. Entropy. Diagonal;Lvl7. lim. Horizontal;Lvl7. lim. Vertical;Lvl7. lim. Diagonal;Lvl7. NPIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;117,8993;33138365,6250;44,9733;2316515,6250;11,8903;2235234,3750;11,6801;0,1147;0,0621;0,0175;-0,0168;8,0373;114,9754;119,1564;0,4708;103,8520;11818293,7500;53,7152;491751,5625;10,9563;449078,9063;10,4700;0,2511;0,2091;0,0799;0,0118;5,6341;103,6694;37,0679;0,4708;78,1036;4505394,2871;66,3147;143321,7041;11,8298;148782,7881;12,0511;0,5391;0,5284;0,3323;0,4360;3,6948;88,9251;21,4153;0,4708;55,1029;686874,1882;51,7959;37751,3306;12,1394;59718,6996;15,2580;0,8605;0,9286;0,9302;1,2216;5,3251;37,8469;13,3385;0,4708;36,1690;88802,7670;36,7493;9274,2432;12,0090;12523,2111;13,9866;1,2342;1,1651;1,9476;2,0430;11,0394;12,8078;9,4850;0,4708;26,1581;3809,0664;15,4189;2811,0499;13,1585;3363,0713;14,4872;1,7589;1,8562;1,8316;1,7988;4,2678;8,8114;8,2281;0,4708;9,8181;1978,6107;16,9657;202,3023;6,9948;170,4995;6,2896;-7,3966;-1,8241;-9,7357;-16,2475;2,0420;2,5524;2,4011;0,4708;0,0000;2,7475;0,0000;1,7296;0,0000;91,9183;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;120,1292;16496029,6875;31,7304;5035373,4375;17,5309;4986604,6875;17,4457;0,1119;0,0508;0,0309;0,0308;16,1458;52,8943;53,4116;0,4436;113,8012;4575372,3633;33,4218;849643,0664;14,4024;638311,8164;12,4832;0,2224;0,1583;0,1112;0,0143;14,5530;78,3689;26,0788;0,4436;102,4278;2061416,3269;44,8636;296533,6853;17,0158;160324,0906;12,5052;0,4656;0,4105;0,3449;0,4369;8,0752;49,3388;17,1360;0,4436;78,9386;918014,7663;59,7941;96050,1881;19,3698;76535,5442;17,2905;0,8682;0,8736;0,9850;1,2671;4,1182;18,2179;14,0218;0,4436;37,0138;259823,8576;63,6700;16161,6807;15,8048;35136,3182;23,2670;1,1455;1,0183;1,5479;1,5484;3,4901;19,3904;11,5666;0,4436;20,5250;8879,1566;22,3270;1725,2197;10,3673;4575,5857;16,9104;1,6563;1,8692;1,8624;1,9119;2,7808;3,8907;5,1930;0,4436;10,2591;436,8185;10,3991;155,8643;5,6072;671,4163;8,6059;-8,1163;-5,6703;-15,5688;-6,9444;3,0365;3,7435;3,3871;0,4436;0,0000;65,6900;0,0000;19,8487;0,0000;19,7102;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;120,0348;19251464,0625;34,2768;5547445,3125;18,4007;5206064,0625;17,8256;0,1166;0,0572;0,0340;0,0331;13,8349;48,0117;51,1600;0,4841;110,9864;7061054,5898;41,5177;841006,9336;14,3262;660156,1523;12,6947;0,2477;0,1936;0,1230;0,0981;9,4300;60,6173;56,7357;0,4841;93,0119;3275491,4978;56,5572;272847,8210;16,3177;206425,7996;14,1981;0,5492;0,5179;0,4989;0,5786;5,0821;26,2747;13,3089;0,4841;52,5421;1319162,3417;71,7543;55040,4636;14,6464;133773,7370;22,8566;0,9177;0,9391;1,2721;1,1512;2,9131;21,9713;14,7040;0,4841;23,6113;110214,6886;40,4437;6905,2971;10,3184;23883,8707;19,2592;1,6861;1,3581;2,5918;1,9286;4,0412;9,1247;6,4489;0,4841;14,7312;2396,2045;12,2058;1894,0724;10,4976;1157,4859;8,1843;2,0380;2,0504;2,0762;2,0376;5,8883;8,2836;7,0207;0,4841;8,0752;141,3383;5,8370;299,6973;7,4675;166,1540;6,3706;-7,5900;-18,8092;-10,3167;-11,2359;1,9622;3,1177;2,3515;0,4841;0,0000;1,4456;0,0000;43,4971;0,0000;20,2669;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;119,5254;12114970,3125;27,1925;5466164,0625;18,2653;3938076,5625;15,5035;0,1053;0,0425;0,0304;0,0266;21,9846;48,7257;67,6326;0,3995;113,3920;3735635,4492;30,1996;1523769,4336;19,2857;592083,1055;12,0229;0,2104;0,1467;0,1217;0,0373;17,8244;43,6980;28,1150;0,3995;100,8278;1855228,6560;42,5599;635755,9021;24,9152;265100,7019;16,0894;0,4605;0,4187;0,3818;0,4541;8,4207;23,0130;22,1369;0,3995;75,3720;774724,8127;54,9966;238657,5062;30,4634;134857,2224;22,9348;0,8423;0,8575;0,9565;1,1483;5,1229;12,4140;10,5947;0,3995;37,1001;160155,2301;49,0233;65025,5581;31,8442;50308,7107;28,0154;1,0808;1,0928;1,0834;1,6022;4,6677;10,8178;4,9701;0,3995;13,7978;4183,0222;15,6754;3400,6238;14,5646;11392,9566;26,0392;2,0658;2,0142;1,8295;1,5079;4,1958;11,8760;8,0882;0,3995;10,3459;124,8162;4,0118;49,6743;3,2863;158,8748;5,8858;-7,5797;-25,1708;-43,7105;-16,6631;3,0811;2,0730;2,0729;0,3995;0,0000;0,3096;0,0000;106,0787;0,0000;0,6487;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;118,9329;11444400,0000;26,4247;5575893,7500;18,4426;4307906,2500;16,2152;0,1052;0,0435;0,0323;-0,0854;23,2727;47,7668;15,4566;0,3884;112,1792;4016817,7734;31,3124;1507259,1797;19,1812;869201,3672;14,5669;0,2134;0,1507;0,1331;0,0363;16,5767;44,1766;19,1514;0,3884;99,2648;1776566,8213;41,6519;623389,0869;24,6730;396246,0938;19,6642;0,4764;0,4721;0,4602;0,5289;7,1739;17,6282;11,8564;0,3884;72,2929;714812,6335;52,8411;251989,7347;31,3715;217770,6459;29,1428;0,8539;0,9716;1,0805;1,1874;3,7698;7,8059;6,3871;0,3884;40,5101;88841,7110;37,2171;33014,1825;22,6904;107596,3275;40,9685;1,3034;1,2581;1,4421;1,4274;7,8803;15,6666;3,5448;0,3884;20,0908;5605,5037;18,2325;3529,7381;14,8528;10663,6604;25,4228;1,9206;1,8151;2,0008;1,5735;6,4067;6,5373;5,4942;0,3884;16,3085;75,1686;4,3340;405,9509;8,1326;69,5719;3,9654;-1,9787;-25,0051;-8,7352;-26,2598;2,1669;1,7245;3,4402;0,3884;0,0000;71,0293;0,0000;76,9181;0,0000;118,0188;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;117,0068;9302639,0625;23,8281;16130264,0625;31,3769;6490307,8125;19,9016;0,1174;0,0456;0,0571;0,0393;28,6308;16,5120;41,0369;0,4026;107,1015;2499144,4336;24,7010;5442541,6992;36,4517;1150891,6992;16,7585;0,2528;0,1691;0,1954;0,1419;26,6434;12,2343;32,5438;0,4026;90,2288;981836,2244;30,9603;2074815,0330;45,0081;352732,0496;18,5586;0,5358;0,5009;0,5215;0,6078;12,9807;7,0515;11,7982;0,4026;60,5534;283270,9110;33,2463;664364,0842;50,9182;197846,2223;27,7998;0,8991;1,0462;0,9408;1,1365;9,1471;5,1446;9,0588;0,4026;28,9780;60226,5214;30,4663;73909,7416;33,9823;46790,6078;27,0260;1,5162;1,4440;1,3518;1,6179;6,7480;6,9593;5,6023;0,4026;14,6889;4341,8289;15,2625;2675,8739;12,8976;2965,6902;13,3074;2,0013;1,9761;2,0703;2,0725;4,7058;3,8200;5,0000;0,4026;4,4260;326,6341;6,5756;355,8924;9,3769;102,1744;3,9165;-20,7875;-12,6106;-7,7261;-26,0247;3,5960;1,6692;2,8896;0,4026;0,0000;8,6759;0,0000;10,9128;0,0000;0,0007;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;104,4330;14569664,0625;29,8204;11269645,3125;26,2261;4588326,5625;16,7345;0,1029;0,0494;0,0442;-0,0825;18,2806;23,6336;14,5120;0,2682;91,7104;5241370,6055;35,7684;3988623,3398;31,2048;991377,2461;15,5554;0,2301;0,1894;0,1750;0,0993;12,7039;16,6939;16,7912;0,2682;68,8862;1740895,1477;41,2315;1524547,3206;38,5849;488020,8801;21,8307;0,4672;0,4492;0,4438;0,4884;9,5620;10,9189;17,6213;0,2682;39,8561;310481,0795;34,7821;348653,1040;36,8693;149006,0337;24,0722;1,1475;1,2332;1,0574;1,1077;4,8505;6,9968;10,6388;0,2682;13,8232;26584,6466;19,3906;40235,1241;25,0691;22615,8356;18,6463;2,3870;2,1083;1,9582;2,0087;3,8697;3,8281;8,4936;0,2682;6,4033;454,1304;5,2458;1256,1248;8,8238;691,0033;6,5595;0,8742;0,5383;1,8487;1,4403;4,7751;5,1505;7,6518;0,2682;2,8645;24,1241;1,3514;80,6710;1,5526;26,3905;2,4033;-41,4653;-120,9795;-97,5916;-59,9642;2,6735;1,9507;2,2219;0,2682;0,0000;4,2367;0,0000;3,7397;0,0000;0,2291;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,2682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;116,4184;20316248,4375;35,2136;8416673,4375;22,6652;6368385,9375;19,7152;0,1196;0,0617;0,0427;0,0381;13,1098;31,6446;41,8226;0,4072;106,9512;5554303,4180;36,8241;2112042,4805;22,7061;995441,3086;15,5893;0,2555;0,1971;0,1612;0,1200;11,9881;31,5266;26,1291;0,4072;90,5166;2231567,1936;46,6816;751549,9329;27,0905;340063,6047;18,2190;0,5387;0,4973;0,4978;0,5374;7,4595;14,6221;17,2571;0,4072;63,0702;679439,6130;51,4673;239600,0988;30,5721;160104,8138;24,9879;0,9446;0,9914;0,9416;1,2120;4,6895;11,6878;8,6876;0,4072;34,9840;95611,8205;37,9935;39948,5016;24,8285;40694,1419;25,1686;1,2951;1,3431;1,7164;1,5771;5,3200;6,4601;6,6947;0,4072;23,5467;2783,9775;12,8754;3150,8135;14,0318;4776,0881;17,0569;1,4839;1,9002;2,0676;1,7530;7,2625;4,0746;5,6902;0,4072;14,8239;72,9591;4,2702;802,7620;13,7834;463,0779;10,5076;-2,4275;-31,3408;-2,1679;-5,6559;1,3599;2,6582;3,4928;0,4072;0,0000;131,1297;0,0000;41,6690;0,0000;46,9504;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;113,9418;10225181,2500;24,9756;6258656,2500;19,5448;2926125,0000;13,3640;0,0968;0,0362;0,0292;-0,1006;26,0477;42,5558;22,7556;0,3208;106,2377;4153979,8828;31,8444;2199165,8203;23,1703;594877,1484;12,0498;0,1990;0,1393;0,1209;0,0183;16,0294;30,2777;27,9829;0,3208;92,5859;1676044,7754;40,4567;853072,1191;28,8589;250320,8496;15,6350;0,4355;0,3917;0,3562;0,4210;9,9320;19,5135;16,6251;0,3208;67,0842;564700,2937;46,9555;350642,4706;36,9799;127055,5321;22,2670;0,8033;0,8439;0,8419;1,0657;6,5856;8,7652;12,7946;0,3208;37,9849;79718,7787;34,6633;66831,3051;32,3040;49125,4469;27,6285;1,3437;1,2914;1,2387;1,3631;5,9601;9,9341;7,9148;0,3208;16,2954;3296,7177;14,3061;4494,7405;15,2663;11045,5887;25,7906;1,8761;1,9051;1,8685;1,5897;2,8172;4,2958;2,3574;0,3208;6,0169;133,4382;5,4734;22,3076;2,3165;761,5994;13,5470;-17,6070;-19,6656;-55,5140;-2,2150;1,4835;2,3784;2,4440;0,3208;0,0000;0,3684;0,0000;1,0393;0,0000;34,7952;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;103,1527;10680356,2500;25,5303;7250287,5000;21,0352;5494612,5000;18,3085;0,0938;0,0428;0,0365;0,0327;24,9376;36,7354;48,4734;0,2463;97,9898;1958370,1172;21,8657;1489986,9141;19,0687;805192,3828;14,0189;0,1787;0,1212;0,1148;0,0843;34,0005;44,6887;46,5161;0,2463;92,8919;470161,2305;21,4272;372115,7227;19,0620;154180,3711;12,2677;0,3280;0,2728;0,2800;0,2600;31,1183;36,7399;30,4712;0,2463;86,7688;106981,2859;20,4413;138866,7137;23,2905;35772,8783;11,7900;0,5198;0,5699;0,5831;0,7267;24,2201;23,3560;25,5617;0,2463;76,1377;36253,7245;23,7780;60596,4270;30,7137;13990,1829;14,7850;0,7076;1,0086;0,9226;1,4044;8,8297;10,1673;6,7279;0,2463;51,3296;24876,3758;39,3948;16902,2128;32,4618;8816,8610;23,2142;1,0694;1,2584;1,4467;1,5250;5,0195;3,6763;6,0963;0,2463;19,7725;2180,9435;21,4656;3764,7162;23,7655;3029,4513;26,0191;-0,3983;-0,9410;-0,1116;0,0320;2,0422;1,8944;2,9036;0,2463;0,0000;172,9633;0,0000;2,3502;0,0000;215,6375;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,2463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
